Ni,Al,Co,Cr,Mo,Re,Ru,Ta,W,Ti,Nb,T,Stress,PI Creep Feature,Creep life
59.3,5.8,5.8,2.9,3.9,4.9,6,5.6,5.8,0,0,1100,137,944.6383951,1062.6
59.8,5.6,5.6,4.6,2.4,6.4,5,5.6,5,0,0,1000,245,952.3287926,1021
59.3,5.8,5.8,2.9,3.9,4.9,6,5.6,5.8,0,0,1000,245,952.3287926,932.3
61.68,6,9,3.5,1.5,4,0,8,6,0.2,0,1100,120,831.5186971,907
50.57,5.55,16.5,2,2,5.95,3,8.25,6,0,0,982,248,820.8086269,870
60.45,5.7,10,3.5,0.6,4.8,0,8,6,0.85,0,982,248,638.8711866,732
61.8,5.7,5.8,3.2,2.9,5.8,3.6,5.6,5.6,0,0,1100,137,763.4981535,722
69.97,5.78,1.75,2,0.4,6.5,0,8.2,5.4,0,0,950,300,696.0570322,690.1
61.8,5.7,5.8,3.2,2.9,5.8,3.6,5.6,5.6,0,0,1000,245,687.2451328,688
69.97,5.78,1.75,2,0.4,6.5,0,8.2,5.4,0,0,1050,150,626.2031782,637.5
59.8,5.6,5.6,4.6,2.4,6.4,5,5.6,5,0,0,1100,137,704.6383951,608
60.45,5.7,10,3.5,0.6,4.8,0,8,6,0.85,0,1121,103,580.8083748,599
58.83,5,12,4,2,5,0,7,6,0,0,980,250,522.7271491,589.2
54.79,6,9,4,1.5,5,5,7,7,0,0.5,1100,130,508.9673879,581
57.7,6,8,3,4,4,0,9,8,0,0,1070,140,504.6632211,576.3
57.7,6,8,3,4,4,0,9,8,0,0,980,250,525.8370613,567.8
60.3,5.7,10,4,0.6,4.5,0,8,6,0.8,0,982,248,493.1249731,493
57.7,6,8,3,4,4,0,9,8,0,0,1100,120,481.0539409,487.3
56.65,6,12.65,5,1.55,4.5,1.6,6.4,5.65,0,0,1050,150,477.6241891,468.4
62.74,5.53,6.05,2.78,3,4.38,2.85,7.77,4.9,0,0,1070,137,454.4245549,461.2
56.79,6,9,4,1.5,5,3,7,7,0,0.5,1100,130,427.9314174,444
64,5.9,5.9,2.9,2.9,4.9,2,5.6,5.9,0,0,1100,137,420.7049117,410.3
61.65,5.8,10,4.2,0.6,4,0,8,5,0.65,0,982,248,437.322368,398
62.8,5.6,9,6.5,0.6,3,0,6.5,6,0,0,1100,117,381.2203652,391.8
56.5,6,7,7,3,4.5,3,8,5,0,0,1085,137,402.4588859,386.3
62.74,5.53,6.05,2.78,3,4.38,2.85,7.77,4.9,0,0,1085,137,402.0807916,386.2
56.65,6,12.65,5,1.55,4.5,1.6,6.4,5.65,0,0,950,300,361.0498553,369.2
61.65,5.8,10,4.2,0.6,4,0,8,5,0.65,0,1121,103,349.0892256,369
52.2,6.1,14.5,3.5,2.4,4,3.9,8,5.4,0,0,950,400,324.4235608,328.2
62.74,5.53,6.05,2.78,3,4.38,2.85,7.77,4.9,0,0,1100,137,324.6666333,322.1
56.5,6,7,7,3,4.5,3,8,5,0,0,1100,137,357.8003038,321.6
