Ni,Al,Co,Cr,Mo,Re,Ru,Ta,W,Ti,Nb,T,stress,creep_rupture_life
62.8,5.6,9,6.5,0.6,3,0,6.5,6,0,0,950,185,1890.4
59.3,5.8,5.8,2.9,3.9,4.9,6,5.6,5.8,0,0,1100,137,1062.6
59.8,5.6,5.6,4.6,2.4,6.4,5,5.6,5,0,0,1000,245,1021
59.3,5.8,5.8,2.9,3.9,4.9,6,5.6,5.8,0,0,1000,245,932.3
61.68,6,9,3.5,1.5,4,0,8,6,0.2,0,1100,120,907
50.57,5.55,16.5,2,2,5.95,3,8.25,6,0,0,982,248,870
60.45,5.7,10,3.5,0.6,4.8,0,8,6,0.85,0,982,248,732
61.8,5.7,5.8,3.2,2.9,5.8,3.6,5.6,5.6,0,0,1100,137,722
69.97,5.78,1.75,2,0.4,6.5,0,8.2,5.4,0,0,950,300,690.1
61.8,5.7,5.8,3.2,2.9,5.8,3.6,5.6,5.6,0,0,1000,245,688
69.97,5.78,1.75,2,0.4,6.5,0,8.2,5.4,0,0,1050,150,637.5
59.8,5.6,5.6,4.6,2.4,6.4,5,5.6,5,0,0,1100,137,608
60.45,5.7,10,3.5,0.6,4.8,0,8,6,0.85,0,1121,103,599
58.83,5,12,4,2,5,0,7,6,0,0,980,250,589.2
54.79,6,9,4,1.5,5,5,7,7,0,0.5,1100,130,581
57.7,6,8,3,4,4,0,9,8,0,0,1070,140,576.3
57.7,6,8,3,4,4,0,9,8,0,0,980,250,567.8
60.3,5.7,10,4,0.6,4.5,0,8,6,0.8,0,982,248,493
57.7,6,8,3,4,4,0,9,8,0,0,1100,120,487.3
56.65,6,12.65,5,1.55,4.5,1.6,6.4,5.65,0,0,1050,150,468.4
62.74,5.53,6.05,2.78,3,4.38,2.85,7.77,4.9,0,0,1070,137,461.2
56.79,6,9,4,1.5,5,3,7,7,0,0.5,1100,130,444
64,5.9,5.9,2.9,2.9,4.9,2,5.6,5.9,0,0,1100,137,410.3
61.65,5.8,10,4.2,0.6,4,0,8,5,0.65,0,982,248,398
62.8,5.6,9,6.5,0.6,3,0,6.5,6,0,0,1100,117,391.8
56.5,6,7,7,3,4.5,3,8,5,0,0,1085,137,386.3
62.74,5.53,6.05,2.78,3,4.38,2.85,7.77,4.9,0,0,1085,137,386.2
56.65,6,12.65,5,1.55,4.5,1.6,6.4,5.65,0,0,950,300,369.2
61.65,5.8,10,4.2,0.6,4,0,8,5,0.65,0,1121,103,369
52.2,6.1,14.5,3.5,2.4,4,3.9,8,5.4,0,0,950,400,328.2
62.74,5.53,6.05,2.78,3,4.38,2.85,7.77,4.9,0,0,1100,137,322.1
56.5,6,7,7,3,4.5,3,8,5,0,0,1100,137,321.6
62.5,6,6,6,3,4.5,0,7,5,0,0,1070,137,320.9
66.5,6,4,2,0.5,6.5,0,9,5.5,0,0,1130,140,304
60.9,6,6.9,3.5,1,4,4,8,5.4,0,0,950,400,302.5
51.7,6,14.4,6.1,1,3.9,3.7,7.9,5.3,0,0,1100,140,302.1
58.98,5,12,4,2,5,0,7,6,0,0,980,250,450
60.9,6,6.9,3.5,1,4,4,8,5.4,0,0,1100,140,282.1
